2026-07-13 12:18:43.804 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/swagger-initializer.js, request={}, response=200 OK
2026-07-13 12:18:44.011 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/favicon-16x16.png, request={}, response=200 OK
2026-07-13 12:18:44.023 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/v3/api-docs/swagger-config, request={}, response=200 OK
2026-07-13 12:18:44.174 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/v3/api-docs, request={}, response=200 OK
2026-07-13 12:21:36.903 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/trainees, request={}, response=403 Forbidden
2026-07-13 12:21:36.907 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 12:21:36.961 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/favicon.ico, request={}, response=403 Forbidden
2026-07-13 12:21:36.966 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 12:21:50.248 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/auth, request={}, response=404 Not Found
2026-07-13 12:21:50.251 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=404 Not Found
2026-07-13 12:21:50.278 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/favicon.ico, request={}, response=403 Forbidden
2026-07-13 12:21:50.282 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 12:21:54.779 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/auth7login, request={}, response=403 Forbidden
