2026-07-13 11:39:45.138 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:45.139 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:45.313 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:45.315 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:45.498 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:45.499 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:45.670 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:45.671 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:45.834 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:45.836 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:46.015 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:46.015 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:39:54.658 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:39:54.659 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:31.353 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:31.360 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:31.899 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:31.900 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:32.100 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:32.102 [http-nio-8080-exec-3] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:32.268 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:32.269 [http-nio-8080-exec-4] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:32.419 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:32.421 [http-nio-8080-exec-5] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:32.588 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui/index.html, request={}, response=404 Not Found
2026-07-13 11:41:32.589 [http-nio-8080-exec-7] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:39.080 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:39.082 [http-nio-8080-exec-6] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:40.999 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:41.000 [http-nio-8080-exec-9] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:41.508 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:41.509 [http-nio-8080-exec-8] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:41.708 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:41.710 [http-nio-8080-exec-10] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:42.658 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:42.659 [http-nio-8080-exec-1] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
2026-07-13 11:41:43.634 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/swagger-ui.html, request={}, response=404 Not Found
2026-07-13 11:41:43.635 [http-nio-8080-exec-2] INFO  [USER_ACTIVITY] REST call: method=GET, endpoint=/error, request={}, response=403 Forbidden
